user,adid,expid,if_click
92092,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
878501,97fc187415fe1785d5ee02bfd348968e,0,0
266367,0b0fa14b56d3741178196daaa92e6a1e,1,0
329319,1f1fe825014d9e9a0881233d9950bd43,1,0
64672,5b2ae85128137e449eb015f6de78add5,0,0
475574,ea875acb76e0a806a7837174528f62d9,1,0
921203,3b97e8d3682a72159f4a6bccee86ac1c,1,0
724218,bcf3ad5ca68792826b1792aaf3a2d630,0,0
21105,ea875acb76e0a806a7837174528f62d9,0,0
142926,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
247588,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,1
162843,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
155866,97fc187415fe1785d5ee02bfd348968e,1,0
643565,5b2ae85128137e449eb015f6de78add5,0,0
343912,ea875acb76e0a806a7837174528f62d9,1,0
598269,97fc187415fe1785d5ee02bfd348968e,0,0
596730,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
758651,5b2ae85128137e449eb015f6de78add5,1,0
998365,0d82161270febc99f7defb653e339113,1,0
832401,bcf3ad5ca68792826b1792aaf3a2d630,1,0
550156,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
820384,97fc187415fe1785d5ee02bfd348968e,0,0
549482,1f1fe825014d9e9a0881233d9950bd43,1,0
998143,0d82161270febc99f7defb653e339113,1,0
869886,97fc187415fe1785d5ee02bfd348968e,1,0
592616,97fc187415fe1785d5ee02bfd348968e,1,0
547919,5b2ae85128137e449eb015f6de78add5,1,0
162814,bcf3ad5ca68792826b1792aaf3a2d630,0,0
490077,97fc187415fe1785d5ee02bfd348968e,1,0
941845,0d82161270febc99f7defb653e339113,0,0
801373,5b2ae85128137e449eb015f6de78add5,1,0
476809,26ff0b4edf5c7f38fb44b7fac8af0209,1,0
702517,0d82161270febc99f7defb653e339113,1,0
316616,0b0fa14b56d3741178196daaa92e6a1e,1,0
646136,97fc187415fe1785d5ee02bfd348968e,1,1
218311,976aabce935794606f1ba9abd0f04ace,0,0
761273,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
613810,5b2ae85128137e449eb015f6de78add5,1,0
491727,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
193310,1f1fe825014d9e9a0881233d9950bd43,0,1
38626,ea875acb76e0a806a7837174528f62d9,0,0
9738,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
434167,97fc187415fe1785d5ee02bfd348968e,0,0
9200,e2a99e04da97a6103127931f3ce7aa01,1,0
634034,97fc187415fe1785d5ee02bfd348968e,0,1
455025,aba26e1c9dbe64e83550df881e84bddb,1,0
860195,976aabce935794606f1ba9abd0f04ace,1,0
840315,97fc187415fe1785d5ee02bfd348968e,0,0
570816,5b2ae85128137e449eb015f6de78add5,1,0
223670,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
853419,5b2ae85128137e449eb015f6de78add5,0,0
364613,ea875acb76e0a806a7837174528f62d9,1,0
780086,bcf3ad5ca68792826b1792aaf3a2d630,0,0
838946,1f1fe825014d9e9a0881233d9950bd43,0,0
412446,976aabce935794606f1ba9abd0f04ace,0,0
32021,e2a99e04da97a6103127931f3ce7aa01,1,0
712609,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
305674,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
79202,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,1
333284,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
822955,bcf3ad5ca68792826b1792aaf3a2d630,0,0
450838,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
956871,0d82161270febc99f7defb653e339113,1,0
523548,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
777430,5b2ae85128137e449eb015f6de78add5,0,0
940248,0d82161270febc99f7defb653e339113,0,0
617304,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
265460,ea875acb76e0a806a7837174528f62d9,1,0
131308,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
604341,97fc187415fe1785d5ee02bfd348968e,0,0
562415,1f1fe825014d9e9a0881233d9950bd43,1,0
705063,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
149549,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,1
388216,5b2ae85128137e449eb015f6de78add5,0,0
175360,ea875acb76e0a806a7837174528f62d9,1,0
345850,5b2ae85128137e449eb015f6de78add5,1,0
559518,1f1fe825014d9e9a0881233d9950bd43,1,1
288730,976aabce935794606f1ba9abd0f04ace,0,0
632871,bcf3ad5ca68792826b1792aaf3a2d630,1,0
71296,bcf3ad5ca68792826b1792aaf3a2d630,1,0
103981,bcf3ad5ca68792826b1792aaf3a2d630,0,0
377810,0d82161270febc99f7defb653e339113,0,0
410599,0b0fa14b56d3741178196daaa92e6a1e,0,0
473572,bcf3ad5ca68792826b1792aaf3a2d630,1,0
730665,97fc187415fe1785d5ee02bfd348968e,0,0
937163,0d82161270febc99f7defb653e339113,1,0
53359,0b0fa14b56d3741178196daaa92e6a1e,0,0
684121,97fc187415fe1785d5ee02bfd348968e,1,1
152126,0b0fa14b56d3741178196daaa92e6a1e,1,0
277085,ea875acb76e0a806a7837174528f62d9,0,0
663886,5b2ae85128137e449eb015f6de78add5,1,0
923892,5b2ae85128137e449eb015f6de78add5,0,0
69291,0b0fa14b56d3741178196daaa92e6a1e,1,0
460855,e2a99e04da97a6103127931f3ce7aa01,1,0
715302,bcf3ad5ca68792826b1792aaf3a2d630,1,0
660675,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
709692,26ff0b4edf5c7f38fb44b7fac8af0209,0,1
72795,5b2ae85128137e449eb015f6de78add5,0,0
655930,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
381328,ea875acb76e0a806a7837174528f62d9,1,0
922843,5b2ae85128137e449eb015f6de78add5,1,0
959292,26ff0b4edf5c7f38fb44b7fac8af0209,0,0
96106,ea875acb76e0a806a7837174528f62d9,0,0
898347,5b2ae85128137e449eb015f6de78add5,0,1
942609,26ff0b4edf5c7f38fb44b7fac8af0209,0,0
364339,26ff0b4edf5c7f38fb44b7fac8af0209,1,0
262323,e2a99e04da97a6103127931f3ce7aa01,1,0
477416,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,1
81173,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
12530,976aabce935794606f1ba9abd0f04ace,0,0
869753,1f1fe825014d9e9a0881233d9950bd43,0,0
700473,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
92722,4b1e5c31834e0fd5a30640d96ad20a6f,1,0
707191,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
970748,0d82161270febc99f7defb653e339113,0,0
625567,0d82161270febc99f7defb653e339113,1,0
77241,ea875acb76e0a806a7837174528f62d9,0,1
925554,5b2ae85128137e449eb015f6de78add5,1,0
840783,97fc187415fe1785d5ee02bfd348968e,0,0
576287,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
332914,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
731106,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
202072,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
153139,0b0fa14b56d3741178196daaa92e6a1e,0,0
378649,0d82161270febc99f7defb653e339113,1,0
103720,ea875acb76e0a806a7837174528f62d9,1,0
754890,1f1fe825014d9e9a0881233d9950bd43,1,0
577471,aba26e1c9dbe64e83550df881e84bddb,1,0
937382,0d82161270febc99f7defb653e339113,0,0
885278,97fc187415fe1785d5ee02bfd348968e,0,0
290135,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
222040,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
55463,ea875acb76e0a806a7837174528f62d9,0,0
764282,5b2ae85128137e449eb015f6de78add5,0,0
227558,0d82161270febc99f7defb653e339113,1,0
899259,1f1fe825014d9e9a0881233d9950bd43,1,0
409998,ea875acb76e0a806a7837174528f62d9,1,0
861177,0d82161270febc99f7defb653e339113,0,0
39070,ea875acb76e0a806a7837174528f62d9,0,0
378679,ea875acb76e0a806a7837174528f62d9,0,0
