user,click,like,age,gender,friend_cnt,sns_like_cnt,sns_comment_cnt,pre_click,treat
1,1,0,34,2,230,209,320,1,0
4,0,0,26,2,168,46,113,0,0
5,0,0,24,2,105,7,30,0,1
6,0,0,39,1,167,23,35,0,0
7,0,0,39,2,443,24,155,0,1
10,0,0,36,2,304,217,310,0,1
13,0,0,35,2,257,142,196,0,0
14,0,0,26,1,564,175,118,0,1
15,0,0,35,1,279,39,134,0,1
16,1,0,27,1,615,40,83,1,1
17,0,0,32,2,196,84,217,0,1
18,0,0,28,2,131,69,178,0,1
20,0,0,22,2,640,209,794,0,0
22,0,0,20,2,240,135,179,0,1
23,0,0,40,1,340,138,700,0,0
25,0,0,29,2,545,249,200,0,1
26,0,0,22,2,140,49,64,0,1
29,0,0,22,1,313,91,236,0,1
31,0,0,22,2,337,246,727,0,0
32,0,0,31,2,344,102,86,0,1
34,0,0,19,2,223,91,156,0,0
35,0,0,20,2,891,230,814,0,1
36,0,0,29,1,263,49,101,0,0
37,0,1,18,1,259,358,281,0,1
39,0,0,19,1,294,91,208,0,0
40,0,0,31,2,145,52,157,0,0
41,0,0,27,2,205,65,91,0,0
42,0,0,31,1,308,53,12,0,1
44,0,0,24,2,120,71,40,0,0
45,0,0,22,1,112,34,32,0,0
46,0,0,18,1,230,62,80,0,1
47,0,0,42,2,1418,128,356,0,0
48,0,0,29,1,5011,196,877,0,1
50,0,0,35,1,613,15,62,0,1
52,0,0,23,2,208,45,74,0,0
53,0,0,33,2,91,48,51,0,0
54,0,0,16,2,141,40,54,0,0
55,0,0,25,2,320,239,522,0,1
56,0,0,34,1,492,60,59,0,1
57,0,0,21,2,293,349,452,0,1
58,0,0,32,2,265,112,54,0,1
61,0,0,21,2,437,112,127,0,0
62,0,0,31,1,330,28,190,0,0
66,0,0,43,2,328,90,90,0,0
67,0,0,30,2,337,225,239,0,0
68,0,0,41,1,615,1454,197,0,0
69,0,0,31,2,340,254,121,0,1
70,0,0,26,1,307,47,11,0,1
71,0,0,30,2,151,54,72,0,0
72,0,0,29,2,233,118,571,0,0
73,0,0,38,1,2068,53,68,0,0
74,0,0,28,2,455,146,163,0,0
75,0,0,27,2,195,54,181,0,1
77,0,0,34,1,488,62,45,0,1
78,0,0,23,2,907,155,240,0,0
79,0,0,28,2,219,83,102,0,0
80,0,0,37,1,289,27,41,0,0
81,0,0,26,1,318,32,171,0,1
82,0,0,32,2,140,48,51,0,1
83,0,0,26,2,748,111,166,0,1
85,0,0,19,2,516,126,206,0,1
88,1,0,30,1,3363,74,173,1,0
90,0,1,31,1,385,20,74,0,1
92,0,0,25,1,658,62,83,0,0
96,0,0,33,1,292,125,126,0,1
97,0,0,32,2,878,255,944,0,0
98,0,0,30,1,214,74,62,0,0
99,1,0,26,1,291,38,90,1,0
100,0,0,24,2,528,68,145,0,0
101,0,0,16,2,371,85,122,0,0
102,0,0,32,1,158,41,75,0,0
103,0,0,28,2,360,20,24,0,0
